,cod_dep,montant,cat_nat,mesure1,Inondations,Mouvements de Terrain,Climatique,Autre,prix_moyen_m2
0,01,2546704807.0684686,0,0.0,0.0,0.0,0.0,0.0,181.93123474285437
1,02,582511049.6978946,0,0.0,0.0,0.0,0.0,0.0,55.24857214532269
2,03,302189796.7012576,0,0.0,0.0,0.0,0.0,0.0,37.64089270038449
3,04,258196366.83519718,0,0.0,0.0,0.0,0.0,0.0,51.260845302676955
4,05,782221228.2911247,0,0.0,0.0,0.0,0.0,0.0,199.1343892781553
5,06,25359274388.96702,0,0.0,0.0,0.0,0.0,0.0,1054.7048244850466
6,07,487359997.86563784,0,0.0,0.0,0.0,0.0,0.0,75.64265022842693
7,08,237192058.6206788,0,0.0,0.0,0.0,0.0,0.0,41.06362622356933
8,09,201722352.20906892,0,0.0,0.0,0.0,0.0,0.0,58.909548325407535
9,10,1167256842.8779964,177,12540483.22849198,0.0,20.0,147.0,10.0,76.81785267348162
10,11,1228807065.003906,285,21257056.966683656,0.0,86.0,174.0,25.0,68.61036216788234
11,12,678689691.9922098,182,7497512.834147628,0.0,41.0,118.0,23.0,46.38226518570087
12,13,39412664629.978325,259,619598187.5061843,0.0,60.0,168.0,31.0,560.9750491449926
13,14,1779271915.2280114,269,29051541.438320797,0.0,45.0,192.0,32.0,61.90138704741794
14,15,163797782.25395557,85,845087.1922055371,0.0,15.0,51.0,19.0,26.161918313328123
15,16,1097994467.942694,146,9730330.338065755,0.0,49.0,80.0,17.0,67.96569918178567
16,17,4186756448.322095,122,31003598.585450415,0.0,41.0,69.0,12.0,139.29094576252626
17,18,568477349.0768825,137,4727247.151656019,0.0,45.0,89.0,3.0,44.36000042706551
18,19,413900560.353059,109,2738401.279422363,0.0,33.0,57.0,19.0,39.843904553450265
19,2.1,1124970721.656784,95,6486932.841116509,0.0,14.0,77.0,4.0,220.71022940586244
20,2.2,443631120.0121768,121,3258231.5946266097,0.0,17.0,90.0,14.0,79.0494123263417
21,21,1846273068.889331,224,25102589.82890502,0.0,13.0,202.0,9.0,82.8475287742119
22,22,128051820902.59575,208,1616678527.9356549,0.0,19.0,172.0,17.0,4497.181134692651
23,23,182336177.47131386,125,1383430.7850630793,0.0,13.0,105.0,7.0,27.128597301350812
24,24,1491165669.8452444,292,26429157.85097489,0.0,61.0,200.0,31.0,75.32947311641252
25,25,2384204345.7113442,187,27061985.59320312,0.0,16.0,157.0,14.0,104.68651435018865
26,26,3268111991.768169,265,52567506.999609396,1.0,44.0,186.0,34.0,144.9718098609475
27,27,2694564869.4657373,325,53155300.91510559,0.0,42.0,218.0,65.0,109.1022117782089
28,28,795133807.3334413,193,9314769.336288568,0.0,38.0,126.0,29.0,46.37563285646741
29,29,4426892811.603794,153,41111660.1016923,0.0,29.0,111.0,13.0,109.9935869876298
30,30,5178455460.278602,232,72922711.18571384,0.0,63.0,157.0,12.0,165.4897383377043
31,31,11575063594.80033,392,275412742.2859927,1.0,146.0,207.0,38.0,209.72562850748025
32,32,487192553.50002074,313,9255919.225827405,0.0,100.0,198.0,15.0,46.57479973629587
33,33,27251936517.136215,317,524361995.5042295,0.0,90.0,186.0,41.0,415.0091708245811
34,34,7293630920.701679,246,108906416.17557591,0.0,77.0,151.0,18.0,168.0180263739332
35,35,8850656679.544052,151,81119827.53330208,0.0,21.0,125.0,5.0,208.29975024533778
36,36,276270897.52380687,108,1811062.6362713894,0.0,46.0,55.0,7.0,28.736403134115154
37,37,2253549802.870133,224,30640070.157384507,0.0,56.0,86.0,82.0,92.39535100116167
38,38,6351961314.006546,228,87905746.86455189,4.0,33.0,161.0,30.0,135.41853956561332
39,39,641115183.6938286,90,3502298.423820611,0.0,16.0,67.0,7.0,55.525213704118244
40,40,1713008277.1709971,274,28489485.15598502,0.0,57.0,179.0,38.0,88.76213700009507
41,41,1532324412.6173224,243,22601203.779423937,1.0,78.0,103.0,61.0,103.12698839535477
42,42,4412225500.9192705,157,42046701.28341884,0.0,25.0,121.0,11.0,146.34683811507537
43,43,416183251.9884925,101,2551411.742084233,0.0,20.0,78.0,3.0,41.245460461909126
44,44,8480109431.999108,140,72061627.95022005,0.0,30.0,105.0,5.0,152.8808921259269
45,45,2395227824.7284393,139,20208598.946115512,0.0,31.0,71.0,37.0,90.73264543070786
46,46,481770751.8722553,127,3713801.850547886,0.0,48.0,69.0,10.0,60.0167663330516
47,47,953351314.6395745,200,11573308.827187551,0.0,64.0,99.0,37.0,64.14816316777724
48,48,91561098.76722603,57,316781.9502113434,0.0,11.0,39.0,7.0,29.18312820040461
49,49,2517945480.404872,201,30719699.032557163,0.0,43.0,111.0,47.0,77.1164948711481
50,50,1532650033.2640464,204,18977882.050735384,8.0,25.0,152.0,19.0,67.51919786040676
51,51,2368277890.8505135,186,26737462.075763006,1.0,22.0,146.0,17.0,101.2758000873809
52,52,498803496.568405,104,3148744.3789447113,0.0,16.0,85.0,3.0,63.78198791237569
53,53,580434408.8167152,87,3065116.4532354614,0.0,4.0,76.0,7.0,45.48680406958279
54,54,6449539009.892896,159,62244412.90275996,0.0,35.0,115.0,9.0,225.16752657284187
55,55,239045583.35938743,101,1465469.1301546665,0.0,15.0,78.0,8.0,28.984987179727852
56,56,3300955411.102543,104,20837594.09739997,0.0,17.0,86.0,1.0,97.44079414282479
57,58,303857978.4085764,77,1420155.6502252133,0.0,26.0,45.0,6.0,34.873577780833294
58,59,36915858351.77257,319,714789609.3605736,0.0,68.0,215.0,36.0,395.0363104596687
59,60,5863723606.654875,560,199313215.15791988,3.0,105.0,324.0,128.0,149.77243890575284
60,61,571744800.9928969,327,11348136.565989517,3.0,71.0,177.0,76.0,36.9317365849243
61,62,10707802614.164665,451,293124065.4924591,0.0,49.0,263.0,139.0,193.39934811306065
62,63,2176254924.835612,191,25230026.74619738,1.0,64.0,112.0,14.0,81.47647966589076
63,64,4700727656.150218,318,90733316.82280846,6.0,65.0,174.0,73.0,156.89991883956498
64,65,713369909.2458425,202,8746629.53976693,10.0,35.0,114.0,43.0,70.01134088726546
65,66,2314461103.476533,93,13064939.764693024,2.0,27.0,58.0,6.0,120.77789322964698
66,69,33261456947.015465,158,318986961.9197841,0.0,42.0,111.0,5.0,517.2332525306405
67,70,530444579.6758167,201,6471584.856742893,0.0,19.0,172.0,10.0,40.658140156776135
68,71,1616756575.350148,241,23650278.279780615,0.0,33.0,198.0,10.0,64.39067612265431
69,72,1800248572.0274546,250,27317884.249278523,0.0,47.0,162.0,41.0,73.57342345065341
70,73,6674023024.895106,289,117073909.20756818,23.0,35.0,185.0,46.0,367.55946877976976
71,74,14019735637.460598,229,194872197.93496066,15.0,53.0,114.0,47.0,463.7068718996327
72,75,1353721693893.974,18,1479028254.3302903,0.0,2.0,15.0,1.0,22003.751147800598
73,76,7055854176.426214,356,152466408.91093975,0.0,62.0,206.0,88.0,153.1305836086711
74,77,13797167936.269691,225,188428697.1569457,0.0,66.0,142.0,17.0,292.10155072235835
75,78,35546669737.71329,195,420734482.47976273,0.0,50.0,110.0,35.0,718.4792242438452
76,79,698702678.7822402,96,4071347.9309921125,0.0,40.0,49.0,7.0,41.475406560252765
77,80,1604197357.0268204,276,26874565.738355234,0.0,16.0,211.0,49.0,73.00776499647455
78,81,1438764395.1676464,287,25063756.07970346,0.0,101.0,167.0,19.0,73.21461777963627
79,82,863032719.0513628,263,13777092.874689434,0.0,82.0,166.0,15.0,72.9881440499752
80,83,18311880222.11458,313,347897936.84502965,0.0,72.0,196.0,45.0,445.0911152247826
81,84,6289809984.157604,223,85136729.9828313,0.0,50.0,158.0,15.0,272.1041276859464
82,85,2880051434.7872977,134,23425001.04773887,0.0,36.0,90.0,8.0,97.16761969262387
83,86,1052432528.2391706,150,9582086.751798214,0.0,50.0,83.0,17.0,58.58206050090559
84,87,684380566.7717845,49,2035486.96642291,0.0,8.0,38.0,3.0,44.696299241298256
85,88,1062229782.4612479,90,5802772.711472674,0.0,14.0,72.0,4.0,65.7537267031612
86,89,960029026.9570671,148,8624236.478885945,0.0,31.0,103.0,14.0,69.12480980862533
87,90,1427489717.9493659,110,9531039.087977557,1.0,28.0,72.0,9.0,226.33932251568382
88,91,22324068145.67297,232,314366240.3518136,0.0,71.0,137.0,24.0,525.0774793433122
89,92,554472696460.1481,146,4913688235.701464,3.0,42.0,86.0,15.0,11737.37339648652
90,93,126578896075.47913,142,1090998679.375905,0.0,49.0,81.0,12.0,3138.1594059916492
91,94,73228105498.52534,95,422256147.0324679,0.0,33.0,53.0,9.0,1992.0086179336467
92,95,25509448636.410698,177,274062058.18784183,0.0,41.0,106.0,30.0,709.4901215497074
